C. Lampe GK,35,74,74,Bolívar 2023 ~ 2024,€475K,€550,1210
B. Uraezaña GK,27,65,65,Blooming 2014 ~ 2023,€550K,€500,1102
G. Viscarra GK,29,69,70,The Strongest 2023 ~ 2025,€1.1M,€550,935
J. Quinteros CB,21,66,73,Real Zaragoza 2022 ~ 2024,€1.6M,€2K,1446
A. Jusino CB CDM,29,67,67,The Strongest 2023 ~ 2025,€850K,€500,1547
J. Sagredo CB LB,28,67,67,Bolívar 2022 ~ 2022,€875K,€500,1731
D. Bejarano RWB RB CB,30,69,69,Bolívar 2018 ~ 2022,€1.2M,€550,1666
G. Villamíl CM CAM RWB,21,65,74,Bolívar 2020 ~ 2023,€1.6M,€500,1725
L. Ursino CAM RW CM,33,69,69,The Strongest 2023 ~ 2026,€875K,€650,1827
R. Fernández LWB LB,22,66,71,Bolívar 2020 ~ 2024,€1.2M,€500,1572
M. Moreno Martins ST,35,69,69,Independiente del Valle 2023 ~ 2023,€600K,€500,1764



Name,Age,Overall rating,Potential,Team & Contract,Value,Wage,Total stats





R. Vaca CAM LM,23,68,75,Bolívar 2023 ~ 2024,€2.4M,€500,1653
F. Saucedo CM CAM,32,68,68,Bolívar 2023 ~ 2023,€950K,€550,1784
J. Arrascaita RM LM,28,68,68,The Strongest 2023 ~ 2023,€1.2M,€600,1553
R. Sánchez LM CM,25,68,69,Oriente Petrolero 2020 ~ 2023,€1.4M,€500,1876


C. Algarañaz ST CF LM,26,67,68,Bolívar 2023 ~ 2023,€1.2M,€500,1688
P. Siles CDM CM,29,67,67,Blooming 2023 ~ 2023,€875K,€500,1743
Á. Quiroga CM,27,67,67,The Strongest 2023 ~ 2023,€1.1M,€500,1824
F. Supayabe RB,26,67,67,Guabirá 2016 ~ 2022,€1M,€500,1644
G. Peredo RM,22,67,73,Guabirá 2018 ~ 2022,€1.6M,€500,1735
C. Roca LB,25,67,70,The Strongest 2023 ~ 2023,€1.2M,€500,1720
J. Arce CAM RM RW,37,66,66,Blooming 2023 ~ 2023,€275K,€500,1678
S. Torres RB RWB,32,66,66,The Strongest 2023 ~ 2025,€600K,€500,1539
B. Cespedes CDM CM,27,66,68,Servette 2013 ~ 2023,€925K,€5K,1706
E. Sánchez CAM CM,29,66,66,Oriente Petrolero 2023 ~ 2023,€850K,€500,1724

D. Rojas CM CDM,22,66,75,Oriente Petrolero 2019 ~ 2022,€1.9M,€500,1850
C. Adorno GK,21,66,75,Palmaflor del Trópico 2023 ~ 2026,€1.7M,€500,959
J. Montenegro RM RW LM,25,66,67,Guabirá 2022 ~ 2022,€1M,€500,1600
L. Justiniano CDM CM RM,29,66,66,Bolívar 2021 ~ 2022,€725K,€500,1765

J. Chura LM RM,20,65,75,The Strongest 2023 ~ 2026,€1.6M,€500,1530
G. Álvarez ST,30,65,65,Palmaflor del Trópico 2023 ~ 2026,€700K,€500,1561
R. Cordano GK,23,65,70,Bolívar 2021 ~ 2025,€875K,€500,1083
J. Carrasco CB,24,65,69,The Strongest 2023 ~ 2023,€925K,€500,1553
J. Mercado CDM RB,25,65,70,Oriente Petrolero 2022 ~ 2023,€950K,€500,1784
H. Céspedes LB,24,65,68,Guabirá 2022 ~ 2023,€900K,€500,1678

A. Meleán CM CDM LM,35,65,65,Guabirá 2022 ~ 2023,€275K,€500,1651
Ó. Baldomar RB CB RWB,26,65,66,Palmaflor del Trópico 2023 ~ 2026,€775K,€500,1482
J. Cuéllar GK,22,65,72,Guabirá 2018 ~ 2022,€1.2M,€500,1001
Jaume Cuéllar RM LM,20,65,77,Lugo 2021 ~ 2023,€1.7M,€2K,1637
J. García LM CAM RM,22,65,74,The Strongest 2023 ~ 2025,€1.6M,€500,1614
W. Soleto CB RB,26,65,66,Oriente Petrolero 2020 ~ 2022,€750K,€500,1545

R. Saucedo RB CB,23,64,69,Oriente Petrolero 2020 ~ 2022,€825K,€500,1701
S. Álvarez CB,20,64,71,Oriente Petrolero 2021 ~ 2027,€1.1M,€500,1535
J. Sagredo CB RB,28,64,65,Bolívar 2023 ~ 2023,€550K,€500,1458
L. Gutiérrez CB LB,37,64,64,Oriente Petrolero 2023 ~ 2023,€100K,€500,1500
J. Vargas CDM CM,26,64,67,Palmaflor del Trópico 2023 ~ 2025,€700K,€500,1620
C. Menacho RM,22,64,71,Blooming 2021 ~ 2024,€1.2M,€500,1579
G. Valverde CB CDM,32,64,64,Blooming 2023 ~ 2023,€375K,€500,1513
E. Arauz GK,32,64,64,Guabirá 2022 ~ 2023,€300K,€500,973
F. Abastoflor ST LW CAM,29,64,64,Guabirá 2023 ~ 2023,€575K,€500,1632
R. Gómez CDM CB,23,64,73,Blooming 2023 ~ 2023,€1.2M,€500,1689
L. Hurtado LM RM CM,28,64,64,Palmaflor del Trópico 2023 ~ 2026,€600K,€500,1763
G. Justiniano CB,33,64,64,Blooming 2023 ~ 2023,€275K,€500,1426
P. Lima CM RM,22,64,71,Palmaflor del Trópico 2022 ~ 2025,€1.2M,€500,1726
D. Corpus RB,18,64,74,The Strongest 2023 ~ 2023,€1.2M,€500,1649
J. Gutíerrez GK,25,64,65,Blooming 2022 ~ 2024,€525K,€500,1161
S. Guzmán LM LB LW,20,64,70,Oriente Petrolero 2022 ~ 2023,€900K,€500,1703
J. Careaga GK,25,64,67,The Strongest 2023 ~ 2026,€600K,€500,1076
B. Egüez RM RW CM,30,63,63,Guabirá 2022 ~ 2023,€475K,€500,1701
J. Ibáñez CB,27,63,65,Guabirá 2016 ~ 2022,€500K,€500,1365
J. Rojas GK,26,63,67,Palmaflor del Trópico 2023 ~ 2026,€525K,€500,920
S. Adrián CM CDM CAM,26,63,64,Palmaflor del Trópico 2023 ~ 2026,€550K,€500,1715
P. Arano LM LW,27,63,63,The Strongest 2023 ~ 2024,€500K,€500,1664
C. Árabe CM RM,30,63,63,Oriente Petrolero 2022 ~ 2023,€450K,€500,1720
R. Cuéllar CDM,25,63,67,Blooming 2023 ~ 2023,€600K,€500,1566
F. Roca ST,22,63,71,Oriente Petrolero 2020 ~ 2022,€1.1M,€500,1453
M. Cabral RB RM,21,63,70,Guabirá 2022 ~ 2023,€925K,€500,1644
G. Sotomayor LM LW RW,22,63,68,The Strongest 2023 ~ 2026,€750K,€500,1647
S. Navarro LB LM,31,63,63,Guabirá 2023 ~ 2026,€350K,€500,1442
J. Villamil LB LWB,29,62,62,Blooming 2023 ~ 2023,€350K,€500,1452
L. Chávez ST RW,19,62,74,Bolívar 2020 ~ 2023,€950K,€500,1612
C. Chore CB,22,62,72,Guabirá 2019 ~ 2022,€825K,€500,1466
C. Abastoflor CM LM ST,20,62,70,Guabirá 2021 ~ 2022,€875K,€500,1616
P. Alcocer CDM CM,21,62,73,Palmaflor del Trópico 2023 ~ 2026,€850K,€500,1624
M. Serrano CDM,25,62,67,Palmaflor del Trópico 2023 ~ 2027,€525K,€500,1488
A. Cabrera CB LB,31,62,62,Blooming 2021 ~ 2023,€275K,€500,1472
R. Montero CB,31,62,62,Palmaflor del Trópico 2023 ~ 2026,€275K,€500,1314
R. Bustos RB RM,18,62,72,The Strongest 2023 ~ 2027,€800K,€500,1604
P. Pedraza CB LB,27,62,64,The Strongest 2020 ~ 2023,€425K,€500,1398
C. Jiménez GK,20,62,72,Blooming 2018 ~ 2024,€750K,€500,890
D. Lino LB CM,20,62,71,The Strongest 2022 ~ 2023,€825K,€500,1631
A. Ortíz LB LWB CB,20,62,69,Palmaflor del Trópico 2023 ~ 2027,€750K,€500,1618
S. Melgar ST,20,61,68,Palmaflor del Trópico 2023 ~ 2027,€650K,€500,1518
H. Salvatierra LM RM LB,19,61,73,Guabirá 2021 ~ 2024,€775K,€500,1508
D. Duran LB LWB,19,61,74,Blooming 2022 ~ 2024,€750K,€500,1464
J. Herrera CDM CM,19,61,74,Bolívar 2020 ~ 2023,€725K,€500,1651
Y. Rocha RWB RB,19,61,76,Bolívar 2021 ~ 2024,€750K,€500,1592
J. Uzeda CAM LM,19,61,75,Bolívar 2022 ~ 2022,€775K,€500,1589
L. Banegas GK,26,61,65,The Strongest 2023 ~ 2024,€350K,€500,931
J. Vargas LM,19,60,69,Oriente Petrolero 2023 ~ 2024,€525K,€500,1380
R. Sandoval CDM,20,60,69,Oriente Petrolero 2021 ~ 2022,€500K,€500,1522
J. Berdecio RB CDM,19,60,69,Oriente Petrolero 2021 ~ 2022,€500K,€500,1665
M. Becerra RB RWB,29,60,60,Blooming 2023 ~ 2024,€220K,€500,1409
S. Claure CM CDM CB,22,60,69,The Strongest 2023 ~ 2023,€550K,€500,1576
F. Rosales GK,21,60,66,Oriente Petrolero 2022 ~ 2022,€325K,€500,938
M. Ferrel GK,20,60,67,Guabirá 2021 ~ 2023,€425K,€500,959
D. Valdivia GK,21,60,68,Oriente Petrolero 2023 ~ 2023,€475K,€500,917
C. Romero CB,20,59,66,Blooming 2023 ~ 2024,€425K,€500,1398
M. Garzón RM,21,59,70,Palmaflor del Trópico 2023 ~ 2026,€500K,€500,1461
J. Flores RM RW,18,59,69,The Strongest 2023 ~ 2026,€475K,€500,1561
L. Rodríguez LB LWB,19,59,72,Palmaflor del Trópico 2023 ~ 2026,€500K,€500,1561
M. Villarroel CAM RW,18,58,69,Bolívar 2020 ~ 2024,€425K,€500,1612
A. Sandoval LB,22,58,67,Oriente Petrolero 2023 ~ 2027,€425K,€500,1357
A. Ampuero RM LM,19,58,69,Oriente Petrolero 2023 ~ 2027,€450K,€500,1489
Á. Vaca ST,20,58,66,Guabirá 2022 ~ 2024,€450K,€500,1499
A. de Guzman CAM,19,57,67,Oriente Petrolero 2023 ~ 2027,€350K,€500,1440
L. Zeballos CM,20,57,65,Oriente Petrolero 2022 ~ 2027,€350K,€500,1456
J. Guerra RB,18,57,71,Palmaflor del Trópico 2023 ~ 2023,€375K,€500,1361
A. Paz LB,19,57,65,Oriente Petrolero 2022 ~ 2024,€325K,€500,1530
P. Luján RM,19,56,71,Blooming 2023 ~ 2025,€350K,€500,1466
R. Orihuela LM LW RW,23,56,62,Palmaflor del Trópico 2023 ~ 2027,€230K,€500,1392
S. Garzón ST,23,55,61,Blooming 2020 ~ 2024,€200K,€500,1310
F. Rodríguez Rendón CAM,26,55,55,Blooming 2023 ~ 2024,€140K,€500,1396
T. Cabrera ST,17,54,68,Oriente Petrolero 2022 ~ 2023,€250K,€500,1335
F. Vargas RB,18,54,65,Oriente Petrolero 2023 ~ 2025,€220K,€500,1304
C. Fernandez CM,18,54,66,Guabirá 2023 ~ 2025,€250K,€500,1457
S. Severiche CB,20,53,62,Blooming 2021 ~ 2025,€190K,€500,1240
F. Quaglio LM LW ST,18,52,64,The Strongest 2022 ~ 2027,€180K,€500,1347
L. Gómez LB,18,52,64,Guabirá 2023 ~ 2024,€180K,€500,1254
A. Zenteno CDM,19,52,63,Palmaflor del Trópico 2023 ~ 2027,€160K,€500,1339
